id,jornada,local,visitante,terminado,resultado,cuando,url
22599,15,Villarreal,Real Sociedad,0,,Dom 06/12 20:00h,https://www.futbolfantasy.com/partidos/22599-villarreal-real-sociedad
22600,16,Atlético,Valencia,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22600-atletico-valencia
22601,16,Deportivo,Athletic,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22601-deportivo-athletic
22602,16,Elche,Sevilla,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22602-elche-sevilla
22603,16,Espanyol,Celta,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22603-espanyol-celta
22604,16,Levante,Alavés,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22604-levante-alaves
22605,16,Málaga,Barcelona,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22605-malaga-barcelona
22606,16,Betis,Racing,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22606-betis-racing
22607,16,Real Madrid,Osasuna,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22607-real-madrid-osasuna
22608,16,Real Sociedad,Getafe,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22608-real-sociedad-getafe
22609,16,Villarreal,Rayo,0,,Dom 13/12 20:00h,https://www.futbolfantasy.com/partidos/22609-villarreal-rayo
22610,17,Athletic,Betis,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22610-athletic-betis
22611,17,Celta,Atlético,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22611-celta-atletico
22612,17,Alavés,Elche,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22612-alaves-elche
22613,17,Deportivo,Real Madrid,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22613-deportivo-real-madrid
22614,17,Barcelona,Real Sociedad,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22614-barcelona-real-sociedad
22615,17,Getafe,Levante,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22615-getafe-levante
22616,17,Osasuna,Villarreal,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22616-osasuna-villarreal
22617,17,Rayo,Málaga,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22617-rayo-malaga
22618,17,Sevilla,Racing,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22618-sevilla-racing
22619,17,Valencia,Espanyol,0,,Dom 20/12 20:00h,https://www.futbolfantasy.com/partidos/22619-valencia-espanyol
22620,18,Celta,Deportivo,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22620-celta-deportivo
22621,18,Espanyol,Barcelona,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22621-espanyol-barcelona
22622,18,Levante,Valencia,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22622-levante-valencia
22623,18,Málaga,Elche,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22623-malaga-elche
22624,18,Rayo,Atlético,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22624-rayo-atletico
22625,18,Betis,Alavés,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22625-betis-alaves
22626,18,Real Madrid,Getafe,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22626-real-madrid-getafe
22627,18,Racing,Athletic,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22627-racing-athletic
22628,18,Real Sociedad,Osasuna,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22628-real-sociedad-osasuna
22629,18,Villarreal,Sevilla,0,,Dom 03/01 20:00h,https://www.futbolfantasy.com/partidos/22629-villarreal-sevilla
22630,19,Athletic,Villarreal,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22630-athletic-villarreal
22631,19,Atlético,Racing,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22631-atletico-racing
22632,19,Alavés,Real Sociedad,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22632-alaves-real-sociedad
22633,19,Deportivo,Rayo,0,,Dom 10/01 20:00h,https://www.futbolfantasy.com/partidos/22633-deportivo-rayo
