id,slug,url
22539,real-sociedad-rayo,https://www.futbolfantasy.com/partidos/22539-real-sociedad-rayo
22540,sevilla-alaves,https://www.futbolfantasy.com/partidos/22540-sevilla-alaves
22541,valencia-real-madrid,https://www.futbolfantasy.com/partidos/22541-valencia-real-madrid
22542,villarreal-getafe,https://www.futbolfantasy.com/partidos/22542-villarreal-getafe
22543,athletic-espanyol,https://www.futbolfantasy.com/partidos/22543-athletic-espanyol
22544,alaves-deportivo,https://www.futbolfantasy.com/partidos/22544-alaves-deportivo
22545,barcelona-villarreal,https://www.futbolfantasy.com/partidos/22545-barcelona-villarreal
22546,getafe-atletico,https://www.futbolfantasy.com/partidos/22546-getafe-atletico
22547,levante-elche,https://www.futbolfantasy.com/partidos/22547-levante-elche
22548,osasuna-malaga,https://www.futbolfantasy.com/partidos/22548-osasuna-malaga
22549,rayo-valencia,https://www.futbolfantasy.com/partidos/22549-rayo-valencia
22550,real-madrid-celta,https://www.futbolfantasy.com/partidos/22550-real-madrid-celta
22551,racing-real-sociedad,https://www.futbolfantasy.com/partidos/22551-racing-real-sociedad
22552,sevilla-betis,https://www.futbolfantasy.com/partidos/22552-sevilla-betis
22553,celta-villarreal,https://www.futbolfantasy.com/partidos/22553-celta-villarreal
22554,deportivo-barcelona,https://www.futbolfantasy.com/partidos/22554-deportivo-barcelona
22555,elche-atletico,https://www.futbolfantasy.com/partidos/22555-elche-atletico
22556,espanyol-getafe,https://www.futbolfantasy.com/partidos/22556-espanyol-getafe
22557,levante-racing,https://www.futbolfantasy.com/partidos/22557-levante-racing
22558,malaga-athletic,https://www.futbolfantasy.com/partidos/22558-malaga-athletic
22559,betis-rayo,https://www.futbolfantasy.com/partidos/22559-betis-rayo
22560,real-madrid-alaves,https://www.futbolfantasy.com/partidos/22560-real-madrid-alaves
22588,real-sociedad-sevilla,https://www.futbolfantasy.com/partidos/22588-real-sociedad-sevilla
22589,valencia-osasuna,https://www.futbolfantasy.com/partidos/22589-valencia-osasuna
22590,athletic-real-madrid,https://www.futbolfantasy.com/partidos/22590-athletic-real-madrid
22591,atletico-betis,https://www.futbolfantasy.com/partidos/22591-atletico-betis
22592,alaves-espanyol,https://www.futbolfantasy.com/partidos/22592-alaves-espanyol
